split,strategy,sigma,fold,sample_idx,y_true,y_pred,uncertainty,noise_scale,injected_noise,dataset,model,rep,_task_model,_task_dataset,_task_rep,_task_strategy,_source
train_oof,legacy,0.0,4,815,-0.066685321319064,-1.1545105734125376,-2.410014380384978,0.4393235038349544,-1.7844898860137053,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.1,1,816,-0.8948360906300838,1.421503318400671,-1.8796945098045887,-1.1345980909380522,-1.9264491647150659,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,3,817,-0.3203743147091664,-0.45097532419747915,1.732262554701964,-1.0724821752149116,-0.08287666918276884,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,3,818,-0.050878919122339245,0.6140090225109404,0.5202468430670751,1.4518577326988882,-0.5492974176941161,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.0,3,819,0.7590575144157151,0.06508926051783025,1.117545954333504,0.3478843917132207,-0.30822540871743703,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,4,820,-2.414979142832716,-1.4947227451231162,1.7723817272696458,-0.5336768060760855,-0.1397818939690502,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.1,2,821,-0.19525930430550476,0.47947028195364,1.746119122630736,-0.11962116116085482,0.289213305579282,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.1,4,822,0.527693009737716,1.1031247865453482,-0.2198435924207131,0.0004809539045649923,1.9668751132803064,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.0,0,823,-1.7886275795111473,0.3370502918233159,-0.08410677844926723,-1.8794449219850935,0.5513524329344945,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.0,1,824,-1.1270764928984138,0.9593091313249101,1.0228932395859713,-0.7662337712081755,1.2342308199714844,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.1,2,825,0.4194952238523788,-1.495396431901611,1.6029538591660544,-0.8192004049420345,-1.1746937171795768,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,1,826,-0.09509662408518271,-0.799554889340272,1.0596957579235644,-1.1982601591693025,-1.75934181562752,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,0,827,-0.6131955957093472,-0.9620331443895159,0.4387877425586666,0.1220724612309809,0.5192080271490478,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,1,828,0.17415605431965656,0.3960691585425744,0.06970976631801606,1.2255858899270964,-0.3701777720765504,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,0,829,-1.3414757243343063,-2.2012230742792847,-1.0397293702374681,-0.09534681171258565,-1.2675942196317227,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.1,3,830,-0.1281547783443367,0.0782937516940324,-0.6116599292166529,-0.8839818057450656,0.7929219501672543,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,3,831,0.4221126040002011,-0.2623277697130463,0.6836971030863241,-0.6409619171526248,0.6243904181372388,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.1,0,832,1.1690539521996093,1.179107932687388,0.921219016783725,1.6250849887989072,-1.055295725054488,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,1,833,1.0603610441361193,0.8496210366575827,-0.690900293441666,0.7611561194726443,-0.19819552097971918,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,4,834,-0.17824607725207126,0.6273052810103666,1.0023938062847575,1.5085030496113783,-1.0621700029946624,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,0,835,0.13367167832178864,0.546222082904116,0.7745243934725081,0.18839979642690738,-0.585230383888026,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,3,836,0.22208782043474956,0.19768889126885858,1.1340768404873893,-2.4892264769303627,-1.5230378236731856,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.0,3,837,0.031678294113022656,0.03139253432917678,0.7212602315956476,-0.40826550957533503,-0.688658306527064,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,1,838,-1.569608328692103,-1.328867667960678,-0.7980002753137627,-1.2849682771806943,-0.21527816422356982,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.0,2,839,0.5585772395990695,-0.04203540906444784,-0.39835350245119716,-0.44527279439790624,-0.33796798982608744,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,4,840,0.07093866145331325,0.9698364571587357,-1.1323330055242815,-0.04690684373806268,-0.8057695079258814,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.0,0,841,-0.06441322298078639,0.7663806211164614,0.7440497431180628,0.0024987627452385144,-0.04232920070816819,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,3,842,-0.9765538480007121,0.2124490472672397,-0.07518134120207398,1.3414281189506347,-0.5435333075094715,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,4,843,-1.0133543736831567,-0.010790751757720913,1.1610049709831105,-0.3376936229709787,0.35914461825576394,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,1,844,-0.131367207052729,-1.0199229384256678,1.0843573997874085,-0.5494972088884452,-2.7574493826276627,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.1,0,845,-0.07084991328038574,-2.288171492588907,-2.3911780806919984,0.1778894116765643,-0.4579177141475108,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,4,846,1.464029293139998,-0.8259359995666363,0.6531100307922594,-0.04907480142752101,-1.4810513621922317,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,0,847,-0.3946400150750804,-0.715672445104565,1.1545653416615353,-0.18605107777212654,1.4895769928642846,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.1,4,848,1.6065519572222093,-1.615991729393902,1.9271290883368781,-0.7383818981246901,0.9921103966212612,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.1,4,849,1.479248248012719,-0.37175044512276656,0.21870921173567331,0.02699937895636365,1.2449868080801365,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.0,2,850,0.6587193671218795,-0.8282245096075359,-0.926055422216959,0.39359986787430046,1.4342305344745372,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,2,851,-0.11687356387759415,0.8905411907733941,-0.3526836449990492,0.25284929637396025,1.0129900525303925,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.1,1,852,0.4531009657107457,0.36451602474813216,-0.3162978494328635,-0.3743384092155415,-0.7143746169067949,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,1,853,0.3979839134223654,1.075042990408485,-1.760227810727235,1.0458582402291376,-0.7457416891663633,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,4,854,0.6007569436217168,-0.6341699711327428,-1.3738381239737714,0.28516306306337647,0.2940809280109379,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,2,855,0.3732993019496787,0.23363275107581016,0.8349262186088032,0.5971384041653383,-0.6259840076833435,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.1,1,856,-1.5702181749121016,0.7736092811261879,0.40707626412774917,0.11044008819318973,0.6802600257624628,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,4,857,0.07814657453222194,1.4560440381898672,-0.32255871652701507,-0.3646337924163695,-0.9277782274486317,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,1,858,0.9833315559920162,0.49947195096590713,-2.2441848887689115,-1.412229429168857,0.0033881109990162896,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,4,859,1.1591134434470574,-1.6778484261084603,0.5474600972123248,1.0697420026433384,0.05580284558637305,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.0,0,860,-0.5619567611546852,-0.28589504229859636,-0.42642186452054665,1.1557626472081375,-0.15402875157576706,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.0,4,861,-0.4152314931235949,0.5006905534198604,-1.942562037892338,-1.2143230197471284,0.8089342239856355,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.1,0,862,-0.5755022783164445,-0.13336769713787258,-0.6145959193677867,0.054149336876661756,-1.9431980906753774,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.1,3,863,-0.03660524409499581,0.9538712833800401,-0.21145377939795854,-0.6054851301103231,0.444709093715991,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.0,4,864,-0.36991532254050935,0.8199001903484716,0.5576459032347654,0.03616002007169176,-0.07541273307922369,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,1,865,1.4708940879931274,-1.8540674548624871,-0.9095974979688349,-1.8748287937074324,-1.8102326768739396,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,2,866,-1.99138894710848,-0.09904250560264513,1.510471757857087,-0.49082262833061163,-0.06488243233958603,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.0,3,867,0.8653355676800016,0.4400266918836534,-0.21904949305886073,-1.1284777790344114,-1.6016066621316454,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,1,868,1.4015336810855479,-0.9219345041124505,0.19366012928904328,0.4721129306994677,-0.9419440503462808,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.0,3,869,-0.18980921788110494,0.8449825096511017,0.8938259052487518,-0.6287838904954801,-2.7650933648570795,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,3,870,1.7667750649064566,1.3267533881531013,-1.6415400247036251,0.6405176320091894,-0.509892162967055,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.1,1,871,0.26617038220186373,-1.210552773145107,0.566930434493297,1.8333572032908618,-1.4159057851095898,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,3,872,0.061545695898321026,0.033099046275580864,1.41021703349297,0.9688317126632252,0.29314085110040866,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,1,873,-0.2761277372713258,1.8302650960615792,1.8662991356230887,-1.6086761498599438,0.6529958877138835,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,2,874,-0.08110502896626273,0.641622574700956,1.0574920579064235,-1.3001414926017496,-0.0673814893706715,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,3,875,-1.0485525463581742,0.026596688589422705,-0.30416112957125785,1.1772647773973468,-2.3604356768959733,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.0,3,876,0.9230663870415025,2.2008317727043805,-0.32846311629893943,0.12014390427325904,0.5363288604577573,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.1,1,877,1.4844123607357538,-1.4561451008930277,-0.12957023170598478,0.9677349158241803,-0.29005566594286447,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,0,878,-1.0568994561902574,-0.5790699125159092,-1.8809649989580433,0.7782897536096117,0.2604634929256371,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.1,3,879,0.3771246129365802,-0.3757705282276959,0.40947793279237304,0.4639154643997073,1.3630985435184455,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,0,880,-1.702310533228274,1.2332094969760377,0.35941235078995765,1.130284669248485,2.2568507660294657,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.0,0,881,-0.8944826257350162,-0.03326257163145378,0.2517340123611294,0.6307245172037591,-1.3343362930438571,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.1,0,882,-2.534207032501938,3.1149212109028928,0.4308021622801653,-0.22398320244103392,-0.6836817155259017,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.0,1,883,-0.3323687476786673,2.3465633628002083,0.6894959185289583,0.49651876176768894,1.89754117575357,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,3,884,-1.6652579679890915,0.4404802698223995,0.3138755677072766,0.891230454586823,0.12820017544543924,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.0,0,885,0.49763731536863987,0.6795853855080348,-2.037084082552308,-0.033512521939356936,-0.2903881671067156,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,0,886,-1.960369196420042,-0.26678539220875047,0.38777131257421804,0.7574864412975119,-0.07624638247013384,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,1,887,-0.10168222722912472,0.8359976171388878,-0.9978927539527679,-0.7044778402932065,1.61200422939183,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,0,888,0.6688078759506995,-1.4711943313204479,0.9771432157801824,0.052923550402803075,0.6683818661013948,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.1,2,889,0.5032270739837316,0.42322338124556025,-0.6192276324172657,-0.504542095386525,-1.7006493660852742,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,4,890,0.9896753501285687,1.6198256939595894,0.474938662258201,0.6887375652608677,0.06700773062278645,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,1,891,0.026299871230791964,1.4703386154422264,-0.8197287002261007,0.6527724626122064,-0.5104427072106759,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,4,892,-0.24580245310328194,0.2511897920254904,-0.6271342909592214,-0.7159907796126789,0.18986545183204945,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,4,893,0.03919242717189931,-0.5812065420400463,0.23386715459732405,-1.2843080186724447,-0.8216631731617388,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,4,894,-0.4982792175107763,-0.8006343266741481,0.02175662807428777,-0.8575920737579641,1.7856839047477033,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.1,4,895,-1.5442709666059016,1.0567739546452906,1.261940523735037,-0.2065111962476644,0.8434160555960517,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,2,896,-0.6455719183147179,0.7658491916954631,-0.14913933358823533,0.7567832274163342,-0.9885008571523547,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,1,897,-1.8133120981141806,0.27111699736959843,-2.1476829771420425,1.8680262158678562,0.723187650104554,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,4,898,-0.13303530970535954,-1.0301640825388527,1.4457473058909582,-1.5815036735061034,0.6940634506371619,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,2,899,-1.6813673359578103,-0.3398665221721035,-1.3668898026470708,-1.025529499610499,-0.39180326794302656,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,3,900,0.8928770060764668,-0.10241770195365024,1.3264329350616852,1.7613202074550594,-0.8358553759245193,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.0,2,901,-0.9934864664244694,-1.598680135315133,-1.6114165558748133,0.4322924209073584,1.936107835675885,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.0,3,902,0.6691103778053499,0.04781988147514981,1.417472542491035,0.20019864980617955,-0.14830407845611715,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.0,4,903,-0.29043224831518716,0.899984284077607,1.8822095568115385,0.7465371799206167,0.02743078805086111,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,3,904,0.3821448553313831,0.6057521234218524,0.5754100957760306,-0.9334035181792667,-0.9630202115323931,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.0,0,905,-1.649964950544311,-0.9760126920489776,-1.0294309047040537,-0.8047701370067689,0.0934244334483976,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.1,4,906,-0.939859867769973,0.6282284021137707,-0.049869032563968234,-0.39134213397790946,0.23399657280483285,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.1,3,907,0.3450212309661265,-0.8279799023144324,-0.5867572335262158,0.9057943137926237,-0.582038605119007,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,2,908,-0.1039805115518755,0.39523664609237075,-0.46637683660967394,1.035355576189247,0.11980645119478735,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,0,909,-0.45197861509344267,0.6740022402874919,-0.9399269587582115,0.5422630870388229,-0.1167408055902199,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.0,4,910,-0.4872627893750232,-1.4633105860235214,-0.49782934413498175,-1.0221871319468736,-0.5632457063359645,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.1,1,911,-0.26142408185078325,-2.8278447751077054,-0.871536831638079,-0.24884927136293442,-0.3239485428834621,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,0,912,-0.7287645187674291,-0.7471640449220982,1.2402193583922825,0.2534209561983576,0.7863878227013821,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
