split,strategy,sigma,fold,uncertainty,model,task_model,task_dataset,task_rep,task_strategy
train_oof,legacy,0.7,0,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.7,1,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.7,2,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.7,3,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.7,4,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.8,0,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.8,1,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.8,2,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.8,3,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.8,4,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.9,0,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.9,1,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.9,2,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.9,3,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,0.9,4,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,1.0,0,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,1.0,1,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,1.0,2,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,1.0,3,0.3,QRF,qrf,logd,ecfp4,legacy
train_oof,legacy,1.0,4,0.3,QRF,qrf,logd,ecfp4,legacy
